,Example
A2M,0.8311083954020373
A2M_AS1,1.1826282907330952
A4GALT,1.3960989937710098
AAAS,0.49549093016156687
AACS,0.44440367386022817
AAED1,0.734412961234487
AAGAB,-0.15085639766889325
AAMDC,1.5749668753530592
AAMP,0.62818197635224
AAR2,0.39355170208884394
AARS,0.6869365622552714
AASDHPPT,0.04308896513710314
AASS,0.32461185572944395
AATF,0.6585331755504784
ABALON,0.881626762627
ABCA1,0.6652380850266941
ABCA2,0.593425153895905
ABCA5,-0.4572965423783086
ABCA7,1.0791526655409118
ABCA8,0.21159231203300033
ABCA9,0.15745296125674524
ABCB6,0.5292810228272118
ABCB7,-0.17042955870020515
ABCB8,0.5078846133979718
ABCC12,0.39817437008109624
ABCC5,0.06270522300818904
ABCC9,-0.09088660714824126
ABCD1,1.0595630786387074
ABCD3,0.08095932286354834
ABCD4,-0.6072463230918038
ABCE1,0.03535093927299715
ABCF3,0.2733302716581032
ABCG1,0.9277116121947424
ABHD1,0.11585999716796169
ABHD10,-0.24532564221114717
ABHD11,0.2791790899268549
ABHD12,1.2162398202706453
ABHD14A,0.07864514736067152
ABHD14A_ACY1,-0.017201316170296188
ABHD14B,0.9441168147473509
ABHD15,0.7500177371287872
ABHD16A,0.39151232879370923
ABHD16B,1.0838830418050311
ABHD17A,0.5968053841859917
ABHD17B,-0.05522893099085291
ABHD2,1.5186974816480185
ABHD3,0.8918973283743834
ABHD4,0.6922093215063594
ABHD8,0.5877380040611424
ABI1,-0.020044117059421218
ABI2,0.5870310990348333
ABI3,1.0305727771652549
ABI3BP,1.3381493789415146
ABL1,0.32709853162756275
ABL2,0.4517779742355196
ABLIM1,0.4411216916241516
ABLIM2,-0.024410203956031218
ABLIM3,0.9487833717892693
ABR,1.229720533831027
ABRA,0.01615329842980895
ABRACL,1.5981336914319453
ABT1,0.5677464471734992
ABTB1,0.8405713615582981
ABTB2,0.3363561153094139
ACAA1,0.6198255058079907
ACAA2,-0.10636646353721435
ACACB,-0.3789500956779164
ACAD8,-0.06241996732547905
ACAD9,0.5613552587230162
ACADL,-0.29637828804916855
ACADM,-1.1472673345604765
ACADS,-0.26775121289484316
ACADSB,-0.8281298096364647
ACADVL,0.2687724918828991
ACAP1,0.38051682061823044
ACAP2,0.5142285026740283
ACAP3,1.057850208819246
ACAT1,-0.7491756984218263
ACBD4,0.4228781619119726
ACBD5,-0.29229072818541013
ACBD6,0.46712657172599226
ACCS,0.8623023720124274
ACD,0.6415750551929944
ACE,0.3881562662385265
ACHE,0.680482369126306
ACIN1,0.8185253693134964
ACKR1,1.6601376067408946
ACKR3,-0.2989487494579772
ACLY,0.8045058884912346
ACO1,-0.1222078768399002
ACO2,-0.9191673839594752
ACOT1,-0.449500280910867
ACOT11,0.8301822127337481
ACOT13,0.22855162340587132
ACOT2,-0.24097633572273125
ACOT6,-0.5379946508909377
ACOT7,1.4350380789274935
ACOT8,0.1594855746608168
ACOT9,0.9116310029772732
ACOX1,-0.5060601756528185
ACOX2,-0.2173519120058538
ACP1,0.7734186795049451
ACP2,0.05280403900240915
ACP5,1.5134529467435898
ACSF2,0.18492014638390875
ACSL1,-0.37594269133518043
ACSL3,0.22021385218970035
ACSL4,0.4206120685231749
ACSL5,0.7616694484942091
ACSM5,0.12906739382253285
ACSS1,0.05114830067242382
ACSS2,0.1623841932105199
ACTA1,-0.9865823067483781
ACTA2,0.8938368130524998
ACTA2_AS1,0.8371232001466171
ACTB,0.8036687833647953
ACTC1,4.813172682194162
ACTG1,1.3330215429662005
ACTG1P20,0.7509432344038462
ACTG2,0.20053047118296954
ACTL6A,0.53954397775129
ACTN1,1.4597199489250983
ACTN2,-0.0016431188794570062
ACTN3,-2.7016726111684664
ACTN4,1.1164004719028653
