,control
A2M,3.426405695879173
A2M_AS1,3.125351026892262
A4GALT,2.3932692098773787
AAAS,1.7439681505120646
AACS,1.3058775085692065
AAED1,1.9674105517546452
AAGAB,1.7093854306649048
AAMDC,0.0
AAMP,3.1621875293853328
AAR2,2.6909718776929
AARS,2.887814722829736
AASDHPPT,3.652377161614557
AASS,1.765737446872588
AATF,2.043399197127627
ABALON,2.147460984325911
ABCA1,1.6211514252920356
ABCA2,0.7460136359604084
ABCA5,0.9422305832537199
ABCA7,0.22454108388462313
ABCA8,1.509622573713314
ABCA9,1.6862421123355475
ABCB6,2.0459852500388864
ABCB7,2.0685623812433067
ABCB8,1.1411710011073877
ABCC12,0.2366694953303444
ABCC5,4.3220178005335095
ABCC9,2.6508190269428793
ABCD1,2.317478345521341
ABCD3,2.943446699668695
ABCD4,1.4508725758952719
ABCE1,1.959779686692102
ABCF3,3.2112334290228675
ABCG1,1.861089993518053
ABHD1,0.6473221056966371
ABHD10,2.671899094849248
ABHD11,2.1130430675327654
ABHD12,1.25302860954468
ABHD14A,3.479434693648996
ABHD14A_ACY1,2.1946855725388685
ABHD14B,1.8867852142675599
ABHD15,0.9437531474821681
ABHD16A,2.3213024525655044
ABHD16B,1.342402218362897
ABHD17A,3.365149960864665
ABHD17B,2.4547492931712735
ABHD2,1.1164594426169316
ABHD3,2.304164109553458
ABHD4,2.8821905946426636
ABHD8,2.3295941119687233
ABI1,2.056465440202027
ABI2,1.6316533375174482
ABI3,0.5473584261609084
ABI3BP,1.4065793392812411
ABL1,2.3073270086254256
ABL2,0.7155700208963983
ABLIM1,3.4300960733845685
ABLIM2,5.471601269954137
ABLIM3,2.62794673335326
ABR,1.247879663336865
ABRA,5.947055603599049
ABRACL,1.1072471710053513
ABT1,2.6923560178471675
ABTB1,2.470276744432609
ABTB2,1.8948142386023616
ACAA1,3.1326540624442645
ACAA2,4.583745499855187
ACACB,3.09891537691849
ACAD8,3.449844048388038
ACAD9,2.4219552382405363
ACADL,1.946510450880674
ACADM,5.462601411971516
ACADS,3.9376775988056987
ACADSB,3.5158261242890565
ACADVL,6.9292357179789805
ACAP1,0.7689363452186248
ACAP2,1.2400306705753852
ACAP3,2.8644279939875656
ACAT1,5.558675332114364
ACBD4,1.3876447555188922
ACBD5,2.507879513639077
ACBD6,2.7085973251318443
ACCS,0.41730080232247113
ACD,0.9921851562430027
ACE,1.3078880446841925
ACHE,5.425304820335022
ACIN1,2.910182275397889
ACKR1,2.672217662387274
ACKR3,4.293103763260703
ACLY,1.3526574904405892
ACO1,1.867560078788714
ACO2,4.378408247762694
ACOT1,4.220138846415184
ACOT11,1.380603437039075
ACOT13,2.17182083971331
ACOT2,4.484770726287197
ACOT6,1.541781515432414
ACOT7,0.6334157740035534
ACOT8,2.7708539770266576
ACOT9,1.9071101164049655
ACOX1,2.3462237368664915
ACOX2,0.9706218989876546
ACP1,4.170784371600886
ACP2,1.9345154927334485
ACP5,0.37152518301646287
ACSF2,1.8814541123137833
ACSL1,5.914551978841092
ACSL3,2.348417186642382
ACSL4,1.8453176492766783
ACSL5,0.7484562444960478
ACSM5,1.2026271120503775
ACSS1,3.5228932650085225
ACSS2,4.867852472714969
ACTA1,15.090023394670911
ACTA2,0.0
ACTA2_AS1,3.743871611289933
ACTB,9.179089544764178
ACTC1,4.103596435914081
ACTG1,6.84314996244847
ACTG1P20,0.8284990408882362
ACTG2,0.0
ACTL6A,1.443480377752382
ACTN1,1.6608515407879896
ACTN2,8.463389388508096
ACTN3,7.026776665109743
ACTN4,3.5500052646187235
ACTR1A,5.153978933984187
ACTR2,2.3880468787527054
ACTR3,1.2209120457778702
ACTR3B,1.7837502301587693
ACTR6,1.5387780225619894
ACVR1,2.485964133179901
ACVR1B,2.1614767830854413
ACVR2B_AS1,2.0163980685167715
ACVRL1,2.140299738742838
ACY1,0.0
ACYP1,3.4336230819819
ACYP2,5.927981697888033
ADA,1.2216514312825186
ADAL,2.2720084959601703
ADAM10,1.6318224520663718
ADAM12,0.043617767543688235
ADAM15,1.716975775108886
ADAM17,1.2156141286019149
ADAM19,1.4930522195405982
ADAM23,1.7301247262892923
ADAM33,2.1112173995329746
ADAM8,0.2719186149309152
ADAM9,1.433704500495659
ADAMTS1,2.2963076483811395
ADAMTS2,0.4632493266525204
ADAMTS4,0.1311034729723053
ADAMTS5,0.651136290501116
ADAMTS7,0.3165624818054785
ADAMTS9,0.988072611508175
ADAMTSL2,1.0018894942311822
ADAMTSL4,3.991211228314508
ADAMTSL4_AS1,0.0
ADAMTSL5,2.855551444703485
ADAP1,0.1351882051896418
ADAP2,0.5141265515171195
ADAR,2.3844512964596007
ADARB1,1.8930738884044944
ADAT3,0.449049699846302
ADCK1,1.857611433550453
ADCK2,1.4019847881719003
ADCK3,8.309419999359598
ADCK4,0.894793192781801
ADCK5,0.23532441540213006
ADCY2,3.650903398615013
ADCY3,0.44888761640545566
ADCY4,0.7174107850483434
ADCY6,1.6594890037570407
ADCY7,1.1743294097750565
ADD1,5.376341739702529
ADD3,1.903406170084362
ADGRA2,1.5848516474776955
ADGRA3,2.960852934894233
ADGRD1,0.8799789874782752
ADGRE5,1.9562022806642396
ADGRF5,2.768931865566139
ADGRG1,1.6163420323691295
ADGRL2,1.0996978299252644
ADGRL4,1.3513325353405914
ADH1A,1.4023358151171472
ADH1B,3.327799847890052
ADH1C,1.749343586277942
ADHFE1,4.263047316232047
ADI1,4.318850701078043
ADIPOQ,0.6074350679162208
