,control
A2M,4.050441097758297
A2M_AS1,3.954080052405575
A4GALT,3.336753115742047
AAAS,1.963569930541239
AACS,1.3861807676595996
AAED1,2.794987216402604
AAGAB,1.9230049988656202
AAMDC,0.0
AAMP,3.377273148502781
AAR2,2.9265082584700144
AARS,3.1749394204863157
AASDHPPT,3.604970829311883
AASS,1.946548593767363
AATF,2.555298114916161
ABALON,2.5186114260746755
ABCA1,2.1878896553260354
ABCA2,1.0098874546174714
ABCA5,0.6787678375896548
ABCA7,0.8284626075088733
ABCA8,1.597228897650583
ABCA9,2.0514298779770908
ABCB6,2.3928809255776864
ABCB7,1.8563849894147322
ABCB8,1.5045670053437705
ABCC12,0.33809005303734513
ABCC5,4.166063916240998
ABCC9,2.6476428493764876
ABCD1,2.8284656540935473
ABCD3,2.943896578356113
ABCD4,0.6680128933872557
ABCE1,2.2154652048329075
ABCF3,3.2692579140024747
ABCG1,2.373027015844189
ABHD1,0.6296578350153268
ABHD10,2.578622855069592
ABHD11,2.198460207474047
ABHD12,1.9241417022822682
ABHD14A,3.4504041641069563
ABHD14A_ACY1,2.4456922773967884
ABHD14B,3.048716422704694
ABHD15,1.421906742453664
ABHD16A,2.539548441278918
ABHD16B,1.9535435060945419
ABHD17A,3.616739612422769
ABHD17B,2.3966565631582353
ABHD2,2.3347501741997343
ABHD3,2.6404376876512985
ABHD4,3.23869072765761
ABHD8,2.5096520157642814
ABI1,2.2573733590932643
ABI2,1.847125415881442
ABI3,0.9909171139197408
ABI3BP,2.4188057622561807
ABL1,2.537664832952696
ABL2,1.0163272943130948
ABLIM1,3.9568645027343567
ABLIM2,5.4789666941311435
ABLIM3,3.350987255851246
ABR,2.326453073420385
ABRA,5.708971757160244
ABRACL,2.317129510227887
ABT1,2.8685239986497884
ABTB1,2.8357581749922574
ABTB2,1.9506248065067915
ACAA1,3.453305933301088
ACAA2,4.655849701483231
ACACB,3.001310093424778
ACAD8,3.3264132353632654
ACAD9,2.7750739363482047
ACADL,1.6591984627031646
ACADM,4.708999861458745
ACADS,3.6679336688008504
ACADSB,2.976185625146914
ACADVL,7.1186296764682
ACAP1,0.9757600339954878
ACAP2,1.5036906668017147
ACAP3,3.1721189539422676
ACAT1,5.048756914690454
ACBD4,1.5920034364666513
ACBD5,2.4476826014151665
ACBD6,3.054272846642876
ACCS,0.9533054737189762
ACD,1.3297051507349031
ACE,1.207842887311525
ACHE,5.773301834626178
ACIN1,3.3187080153747455
ACKR1,3.6100983413400947
ACKR3,4.055614672690235
ACLY,1.9101213054720816
ACO1,1.896783338368372
ACO2,3.838243553509096
ACOT1,3.794369699370122
ACOT11,1.486477550840014
ACOT13,2.4131691721468593
ACOT2,4.277654600079342
ACOT6,0.9903972735197323
ACOT7,1.5428384784294185
ACOT8,2.83642448544385
ACOT9,2.5970877499893144
ACOX1,2.123705259260183
ACOX2,0.7044063325181353
ACP1,4.940890548035052
ACP2,2.360055756867086
ACP5,1.5981464975236193
ACSF2,1.89808526824482
ACSL1,5.6957640601027
ACSL3,2.4816448471860286
ACSL4,2.110810883807663
ACSL5,1.1783449579787912
ACSM5,1.2512282656120177
ACSS1,3.1343280698566107
ACSS2,4.884898052386459
ACTA1,14.537167557567068
ACTA2,0.26703473783634263
ACTA2_AS1,4.523813527591663
ACTB,9.70563122802158
ACTC1,8.639888148697512
ACTG1,7.658509289975708
ACTG1P20,1.2453173685273724
ACTG2,0.0
ACTL6A,1.6422801370659306
ACTN1,2.6536138231213795
ACTN2,8.725301762105834
ACTN3,5.563967679897044
ACTN4,4.26332907625678
ACTR1A,5.645655579435921
ACTR2,2.2646292048667105
ACTR3,2.3035449304448408
ACTR3B,1.8482104897600262
ACTR6,1.4726005832047104
ACVR1,2.751218180741515
ACVR1B,2.0514089952599845
ACVR2B_AS1,1.9364939685197782
ACVRL1,2.3357622094291983
ACY1,0.0
ACYP1,3.5406590541508005
ACYP2,5.870054987802226
ADA,1.84025011218055
ADAL,2.232138222393848
ADAM10,2.1497575231271835
ADAM12,0.36599705534895693
ADAM15,2.1964506177623644
ADAM17,1.6647654352787318
ADAM19,1.7093943119168753
ADAM23,1.6046871850167213
ADAM33,2.3705585261051945
ADAM8,0.631731060649588
ADAM9,1.651278599932825
ADAMTS1,3.4124273781341365
ADAMTS2,1.5065074992893146
ADAMTS4,0.6067302645929181
ADAMTS5,0.8494933270667501
ADAMTS7,0.7263612839322602
ADAMTS9,1.5314134022107506
ADAMTSL2,1.1399821729850002
ADAMTSL4,3.6705261847403285
ADAMTSL4_AS1,0.0
ADAMTSL5,2.578266586627212
ADAP1,0.5586212836846738
ADAP2,1.6342847170931478
ADAR,2.9184299344676092
ADARB1,2.0323138806899945
ADAT3,0.7770253337387385
ADCK1,1.8659920358991662
ADCK2,1.831112734494874
ADCK3,7.9045541415742315
ADCK4,1.4161349726692791
ADCK5,0.7283698521194549
ADCY2,3.2706261154579908
ADCY3,0.7900188044883675
ADCY4,1.1228966421682292
ADCY6,1.8635598914861013
ADCY7,1.8007591170690398
ADD1,5.347430774081809
ADD3,1.9558666354752154
ADGRA2,2.121985163001942
ADGRA3,2.9980802996255296
ADGRD1,1.139141364119415
ADGRE5,2.6710170370781436
ADGRF5,2.6497329390873388
ADGRG1,1.9683680178400544
ADGRL2,1.2444231306900477
ADGRL4,2.0011918949685197
ADH1A,1.2357674914892094
ADH1B,2.627290017394824
ADH1C,2.144461819020824
ADHFE1,4.0835645089784665
ADI1,4.455126889628539
ADIPOQ,0.9996154705307753
ADIPOR1,5.211752864620033
ADIPOR2,4.058042392134229
ADIRF,5.3343154458054025
ADM,3.0759879580621665
ADM5,0.7877174647590475
ADNP,2.6528960130367105
ADORA1,1.2256593093740924
ADORA3,0.5713447941722006
ADPGK,2.4456774475022556
ADPRH,2.223252320413163
ADPRHL1,6.517722969580534
ADPRM,2.4092771454437543
ADRA1B,0.5866225681493558
ADRA2A,1.1505122358233175
ADRA2B,1.3872274197207002
ADRA2C,1.4787378495051002
ADRB2,3.0727887317579374
ADRBK1,3.8201696678543646
ADRBK2,0.7419164978925207
ADRM1,5.85611450794628
ADSL,4.2590420894541845
ADSS,1.880663585943652
ADSSL1,6.738474431958532
AEBP1,3.833887710349681
AEN,2.1827777762539045
AES,7.801866408209694
AFAP1,0.9533457073010512
AFAP1L1,1.4207976666592816
AFF1,2.9046617383604723
AFF4,2.6088392788005903
AFG3L1P,3.074515540673855
AFG3L2,4.480221232949033
AFMID,2.1441472241836266
AGAP11,1.2334561684471261
AGAP2_AS1,1.920012738308703
AGAP3,2.8016060912480745
AGAP4,1.5267694506623435
AGAP6,2.4161192952060127
AGAP7P,0.0
AGER,1.1846649618102465
AGFG1,1.7816366843841585
AGK,2.204228690943907
AGL,2.8685680501805737
AGMAT,2.1428375246108344
AGPAT1,4.953754172960025
AGPAT2,3.0889994263940577
AGPAT3,3.1209714561327964
AGPAT4_IT1,0.23279826670018722
AGPAT5,2.7381752915948177
AGPAT9,3.359525246625674
AGPS,2.00886870299063
AGRN,1.620122327558631
AGT,4.114147438719334
AGTR1,2.2045692662991825
AGTRAP,3.456999152623665
AHCY,4.2358919954795535
AHCYL1,3.9270065805936234
AHCYL2,2.561456162574261
AHNAK,5.400886094859315
AHNAK2,0.8178467044597668
AHR,1.3031325220429644
AHSA2,3.479269629355824
AHSP,0.0
AIDA,3.1798860067096135
AIF1,2.051040365544352
AIF1L,2.6147750877870686
AIFM1,2.7303201910051635
