,Example_Mi2
A2M,4.25751409128121
A2M_AS1,4.307979317625357
A4GALT,3.789368203648388
AAAS,2.2394590806736314
AACS,1.7502811824294346
AAED1,2.7018235129891313
AAGAB,1.5585290329960115
AAMDC,1.574966875353059
AAMP,3.7903695057375733
AAR2,3.084523579781744
AARS,3.5747512850850076
AASDHPPT,3.6954661267516595
AASS,2.0903493026020317
AATF,2.701932372678105
ABALON,3.0290877469529107
ABCA1,2.28638951031873
ABCA2,1.3394387898563134
ABCA5,0.4849340408754114
ABCA7,1.303693749425535
ABCA8,1.7212148857463143
ABCA9,1.8436950735922932
ABCB6,2.575266272866098
ABCB7,1.8981328225431016
ABCB8,1.6490556145053594
ABCC12,0.6348438654114407
ABCC5,4.384723023541699
ABCC9,2.5599324197946385
ABCD1,3.3770414241600477
ABCD3,3.024406022532243
ABCD4,0.8436262528034683
ABCE1,1.9951306259650992
ABCF3,3.4845637006809707
ABCG1,2.7888016057127953
ABHD1,0.7631821028645988
ABHD10,2.4265734526381006
ABHD11,2.3922221574596203
ABHD12,2.469268429815325
ABHD14A,3.558079841009668
ABHD14A_ACY1,2.1774842563685723
ABHD14B,2.830902029014911
ABHD15,1.6937708846109552
ABHD16A,2.712814781359214
ABHD16B,2.4262852601679277
ABHD17A,3.961955345050657
ABHD17B,2.3995203621804198
ABHD2,2.6351569242649506
ABHD3,3.196061437927841
ABHD4,3.5743999161490234
ABHD8,2.9173321160298666
ABI1,2.036421323142606
ABI2,2.218684436552282
ABI3,1.5779312033261632
ABI3BP,2.7447287182227553
ABL1,2.634425540252988
ABL2,1.1673479951319181
ABLIM1,3.87121776500872
ABLIM2,5.447191065998107
ABLIM3,3.5767301051425293
ABR,2.477600197167892
ABRA,5.963208902028857
ABRACL,2.7053808624372966
ABT1,3.260102465020667
ABTB1,3.3108481059909067
ABTB2,2.2311703539117755
ACAA1,3.7524795682522547
ACAA2,4.477379036317971
ACACB,2.719965281240574
ACAD8,3.387424081062559
ACAD9,2.9833104969635524
ACADL,1.6501321628315055
ACADM,4.31533407741104
ACADS,3.669926385910855
ACADSB,2.687696314652592
ACADVL,7.19800820986188
ACAP1,1.1494531658368552
ACAP2,1.7542591732494137
ACAP3,3.922278202806812
ACAT1,4.809499633692536
ACBD4,1.8105229174308652
ACBD5,2.2155887854536664
ACBD6,3.1757238968578365
ACCS,1.2796031743348986
ACD,1.6337602114359973
ACE,1.696044310922719
ACHE,6.105787189461328
ACIN1,3.728707644711385
ACKR1,4.3323552691281675
ACKR3,3.9941550138027258
ACLY,2.157163378931824
ACO1,1.7453522019488141
ACO2,3.459240863803218
ACOT1,3.770638565504316
ACOT11,2.210785649772823
ACOT13,2.400372463119181
ACOT2,4.243794390564466
ACOT6,1.0037868645414765
ACOT7,2.068453852931047
ACOT8,2.9303395516874744
ACOT9,2.818741119382238
ACOX1,1.840163561213673
ACOX2,0.7532699869818008
ACP1,4.944203051105832
ACP2,1.9873195317358578
ACP5,1.8849781297600527
ACSF2,2.0663742586976923
ACSL1,5.5386092875059125
ACSL3,2.568631038832082
ACSL4,2.265929717799853
ACSL5,1.510125692990257
ACSM5,1.3316945058729104
ACSS1,3.574041565680946
ACSS2,5.030236665925489
ACTA1,14.103441087922535
ACTA2,0.8938368130524998
ACTA2_AS1,4.58099481143655
ACTB,9.982758328128972
ACTC1,8.916769118108242
ACTG1,8.17617150541467
ACTG1P20,1.5794422752920823
ACTG2,0.20053047118296954
ACTL6A,1.9830243555036717
ACTN1,3.120571489713088
ACTN2,8.46174626962864
ACTN3,4.325104053941275
ACTN4,4.666405736521589
ACTR1A,5.793688687007005
ACTR2,2.109915744791765
ACTR3,2.8453154387971997
ACTR3B,2.0616332231438546
ACTR6,1.4918096846086784
ACVR1,2.7007534605046217
ACVR1B,1.9052593721905777
ACVR2B_AS1,1.6438972849503193
ACVRL1,2.6144873794114507
ACY1,0.4823332697766189
ACYP1,3.3509513868858334
ACYP2,5.572900301643058
ADA,2.2763893598284346
ADAL,2.2827289934006
ADAM10,2.4769563151566736
ADAM12,1.3805641374692832
ADAM15,2.75572077808639
ADAM17,2.027527551710727
ADAM19,1.834751878650036
ADAM23,1.5152200178316912
ADAM33,2.8982345011726944
ADAM8,1.0946602708260613
ADAM9,1.7924994109571353
ADAMTS1,3.8201551134901495
ADAMTS2,2.1951310035214093
ADAMTS4,1.1441258031753898
ADAMTS5,0.9037667169086937
ADAMTS7,1.26392972317666
ADAMTS9,1.6965157100355333
ADAMTSL2,1.6498581239831365
ADAMTSL4,3.826623555304549
ADAMTSL4_AS1,0.5904412356015153
ADAMTSL5,3.0041677487699716
ADAP1,1.0021691328997362
ADAP2,2.0049168516555427
ADAR,4.088311779527129
ADARB1,1.9213129582786905
ADAT3,1.340729848222062
ADCK1,1.9703085602019785
ADCK2,2.05701733371286
ADCK3,7.5129672365056
ADCK4,1.8769197087937108
ADCK5,1.3807850350279238
ADCY2,3.075126339388108
ADCY3,1.1972853691505576
ADCY4,1.347187692318103
ADCY6,2.3184569699978983
ADCY7,2.201188634755699
ADD1,5.306221105285196
ADD3,1.9619033051404557
ADGRA2,2.6096486265437924
ADGRA3,3.0284914148136624
ADGRD1,1.3216064823035991
ADGRE5,2.9370425772782056
ADGRF5,2.8882113741079007
ADGRG1,2.3789973656854544
ADGRL2,1.591085397982473
ADGRL4,2.3252564749251694
ADH1A,1.0981421051070646
ADH1B,1.6009883143812844
ADH1C,2.192058674822395
ADHFE1,3.949019238309987
ADI1,4.472521364386262
ADIPOQ,1.0643777916769184
ADIPOR1,5.472986905608037
ADIPOR2,3.901877699455308
ADIRF,5.068968676634391
ADM,3.4503497208067215
ADM5,1.3903894670682668
ADNP,1.7043810080264483
ADORA1,1.6332293769410346
ADORA3,0.8793165986049359
ADPGK,2.9281603516549
ADPRH,2.5219243749155464
ADPRHL1,6.637987972609316
ADPRM,2.7608971986266067
ADRA1B,0.7037472215795156
ADRA2A,1.9826987190241114
ADRA2B,1.303695545788223
ADRA2C,1.7405955103990975
ADRB2,3.192937987795722
ADRBK1,4.323067143564519
ADRBK2,1.0069268960967481
ADRM1,6.143751798306656
ADSL,3.819832042231397
ADSS,2.029681769632565
ADSSL1,6.162443939284642
AEBP1,4.489386019725326
AEN,2.760175427182325
AES,7.692071929351621
AFAP1,1.2403610021309779
AFAP1L1,1.2672578923477498
AFF1,2.221819658382117
AFF4,2.8284531881423036
AFG3L1P,3.2675584084674827
AFG3L2,4.413284564414067
AFMID,2.4870023137788984
AGAP11,1.343974661486772
AGAP2_AS1,2.375815951082801
AGAP3,3.094216735461474
AGAP4,1.3491729640264696
AGAP6,2.7276870774260904
AGAP7P,0.0
AGER,1.6941948281180155
AGFG1,1.9401696423871202
AGK,2.2965505770481176
AGL,2.1274490539331397
AGMAT,1.716012008777537
AGPAT1,5.1496662424396895
AGPAT2,3.6416015419481154
AGPAT3,3.2949733735175544
AGPAT4_IT1,0.3509785925473638
AGPAT5,3.0740820360947385
AGPAT9,3.368055518367758
AGPS,2.2468297397015378
AGRN,3.2035548887782905
AGT,4.351593641574583
AGTR1,1.9846583749882678
AGTRAP,4.242918291165751
AHCY,4.3560889983907725
AHCYL1,3.815229472633712
AHCYL2,2.6361185538377288
AHNAK,5.1191270196403345
AHNAK2,1.0951857028432168
AHR,1.6447337572120815
AHSA2,3.646787864792923
